Date,HSN Code,Description,Origin,Destination,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer,Data Source,Original Unit Price (USD),Quantity
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A02",India,Netherlands,1063321.24,120000.0,,,,True,Real (Market),1063321.24,1
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A01",India,Belgium,1063321.24,120000.0,,,,True,Real (Market),1063321.24,1
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A02",India,Belgium,1063321.24,120000.0,,,,True,Real (Market),1063321.24,1
29-Sep-24,85042329.0,23 MVA 66-11 KV POWER TRANSFORMER COMPLETE WITH ACCESSORIES AS PER PACKING LIST NO E1128-230110,Indonesia,New Zealand,538549.5,23000.0,,,,True,Real (Market),538549.5,1
29-Sep-24,85042329.0,23 MVA 66-11 KV POWER TRANSFORMER COMPLETE WITH ACCESSORIES AS PER PACKING LIST NO E1128-230109,Indonesia,New Zealand,538549.5,23000.0,,,,True,Real (Market),538549.5,1
26-Sep-24,85042310.0,"TRANSFORMER 2.2MVA, 0.4/11KV,OLTC, 2WINDING DYN11 INVERTER DUTY WITH SPARE PARTS / ACCESSORIES / COMPONENT",India,Kenya,696.78,2200.0,,0.4,11.0,True,Real (Market),696.78,1
26-Sep-24,85042310.0,TEPCO DAANI ASO S/S 1B20 MVA 23 TAP50Db TRANSFORMER,India,Japan,118985.2,20000.0,,,,True,Real (Market),118985.2,1
25-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,626931.92,105000.0,,3.0,33.0,True,Real (Market),626931.92,1
24-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,626931.92,105000.0,,3.0,33.0,True,Real (Market),626931.92,1
23-Sep-24,85042320.0,"60 MVA, 132/33 KV POWER TRANSFORMER Transformer Serial no 1LIN23600100065",India,Tanzania,692158.51,60000.0,,132.0,33.0,True,Real (Market),692158.51,1
23-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,626931.92,105000.0,,3.0,33.0,True,Real (Market),626931.92,1
23-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,626931.92,105000.0,,3.0,33.0,True,Real (Market),626931.92,1
20-Sep-24,85042310.0,"ELECTRICAL TRANSFORMERS, 15MVA, 33/11.5KV, DYN11,COPPER SR NO. 5273503 AS PER DOCUMENT",India,United Kingdom,290741.62,15000.0,,33.0,11.5,True,Real (Market),290741.62,1
19-Sep-24,85042322000.0,1 SET POWER TRANSFORMER S-25000-69-13.8 kVRated Capacity 25000kVAVoltage Ration 69-13.8 kV,China,Philippines,136500.0,25000.0,,,,True,Real (Market),136500.0,1
17-Sep-24,85042329000.0,STC 48 PKGS OF 2 UNITS POWER TRANSFORMER 55 68 75MVA 110KV WITH PARTS AND ACCESORIES SIEMENS ENERGY,China,Philippines,200.7116949318694,75000.0,,,,True,Real (Market),20271.88118811881,101
17-Sep-24,85042329000.0,"375 MVA , 240KV±9*1.25%-16.5KV STEP UP GENERATOR TRANSFORMER CKD IN 22 PACKAGES",China,Philippines,1653400.0,375000.0,,,,True,Real (Market),1653400.0,1
17-Sep-24,85042320.0,"60 MVA, 132/33 KV POWER TRANSFORMER Transformer Serial no 1LIN23600100065",India,Tanzania,692158.51,60000.0,,132.0,33.0,True,Real (Market),692158.51,1
16-Sep-24,85042310.0,"POWER TRANSFORMER 10/12,5 MVA, 67/13.2 KV Freight DOCUMENT no.652000030 valueincld in this DOCUMENT of USD 4700",India,Philippines,203959.2,5000.0,,67.0,13.2,True,Real (Market),203959.2,1
19-Sep-24,85042322000.0,1 SET POWER TRANSFORMER S-25000-69-13.8 kVRated Capacity 25000kVAVoltage Ration 69-13.8 kV,China,Philippines,136500.0,25000.0,,,,True,Real (Market),136500.0,1
17-Sep-24,85042329000.0,STC 48 PKGS OF 2 UNITS POWER TRANSFORMER 55 68 75MVA 110KV WITH PARTS AND ACCESORIES SIEMENS ENERGY,China,Philippines,200.7116949318694,75000.0,,,,True,Real (Market),20271.88118811881,101
17-Sep-24,85042329000.0,"375 MVA , 240KV±9*1.25%-16.5KV STEP UP GENERATOR TRANSFORMER CKD IN 22 PACKAGES",China,Philippines,1653400.0,375000.0,,,,True,Real (Market),1653400.0,1
9-Sep-24,85042322000.0,"CHINT , 20-25MVA POWER TRANSFORMER , QTY: 1 SET",China,Philippines,325315.2,25000.0,,,,True,Real (Market),325315.2,1
6-Sep-24,85042321000.0,1SET 16-20 MVA OIL-IMMERSED POWER TRANSFORMER 69-13.8KV BRAND: CHINT,China,Philippines,156730.0,20000.0,,,,True,Real (Market),156730.0,1
5-Sep-24,85042310.0,"400-132-33KV , 225-325 MVA , 3-PHASE POWER TRANSFORMER , HV BUSHING , LV BUSHING , RADIATO",China,Bangladesh,1396847.5,325000.0,,,,True,Real (Market),2793695.0,2
28-Aug-24,85042310.0,"132-33KV , 80-120 MVA POWER TRANSFORMER",China,Bangladesh,294656.6666666667,120000.0,,,,True,Real (Market),883970.0,3
22-Aug-24,85042329000.0,1 PKG OF 20-25 MVA OIL-IMMERSED POWER TRANSFORMER 69-34.5KV BRAND CHINT,China,Philippines,184741.2,25000.0,,,,True,Real (Market),184741.2,1
16-Aug-24,85042321.0,"Transformer SF11-16000-115 GY (3-phase transformer, oil-immersed type, using liquid dielectric, outdoor, not used in explosion-proof, voltage 115-6.3kv, capacity 16000KVA, brand:...",China,Vietnam,82500.0,16000.0,,,,True,Real (Market),165000.0,2
15-Aug-24,85042390.0,132-33KV 80-120MVA POWER TRANSFORMER W.S.ACC.,China,Bangladesh,458225.0,120000.0,,,,True,Real (Market),916450.0,2
13-Aug-24,8504230009.0,"1 . OIL TRANSFORMER , three-phase , RATED POWER 10000 kVA , VOLTAGE 110 -U1 , WITH ACCESSORIES AND SPARE PARTS FOR INSTALLATION , Part of the kit - count . 2 PCS , weight : 48780 ...",China,Uzbekistan,45000.0,10000.0,,,,True,Real (Market),90000.0,2
13-Aug-24,8504230009.0,"1 . OIL TRANSFORMER , three-phase , RATED POWER 10000 kVA , VOLTAGE 110 -U1 , Part of the kit - count . 2 PCS , weight : 16690 kg 2 . seats 33 , 33 seats 8 . 000 9 . 000 10 . 2024...",China,Uzbekistan,10000.0,10000.0,,,,True,Real (Market),20000.0,2
13-Aug-24,85042310.0,230-132-33KV 350-450MVA (ONAN-ONAF) T. P. AUTO TRANSFORMER,China,Bangladesh,1240597.5,450000.0,,,,True,Real (Market),2481195.0,2
12-Aug-24,85042329.0,STEP-DOWN TRANSFORMER 31500KVA,China,Indonesia,140052.25,31500.0,,,,True,Real (Market),280104.5,2
8-Aug-24,85042310.0,"Synchronous rectifier transformer (used to regulate voltage for 20-ton medium frequency furnace) . Model: ZSSP-14000-35 , no brand , rated capacity 14000KVA , voltage 35KV. 1...",China,Vietnam,84000.0,14000.0,,,,True,Real (Market),84000.0,1
8-Aug-24,85042301.0,SINGLE PHASE POWER AUTOTRANSFORMER OUTDOOR SERVICE CAPACITY OF 60 80 100 MVA COOLING ONAN ONAF ONAF 60 HZ NOMINAL VOLTAGES 230YT 132 79 115YT 66 395 34 5 KV CONNECTION OF STAR WIN...,China,Mexico,1116766.17,100000.0,,,,True,Real (Market),1116766.17,1
6-Aug-24,85042330.0,SUPPLY OF REGULATING AND RECTIFIER HAVING A POWER HANDLINGCAPACITY EXCEEDING 100000 KVA BUT NOT 250000 KVA,China,India,1589744.4875,100000.0,,,,True,Real (Market),3179488.975,2
5-Aug-24,8504230000.0,75MVA POWER TRANSFORMER,China,Ecuador,353498.0,75000.0,,,,True,Real (Market),353498.0,1
5-Apr-17,85042320.0,"TRANSFORMER >> POWER TRANSFORMERALONG 60-75MVA , 225-33-10 KV POWER TRANSFORMERALONG WITH ITS SPARE PARTS / ACCESSORIES / COMPONENT & INSULATING OIL DRUMS BEARING SR. NO. 12110-...",India,Mauritania,718403.93,75000.0,,,,True,Real (Market),718403.93,1
5-Oct-16,85042320.0,"TRANSFORMER >> POWER TRANSFORMER 132-33KV , 60-80 MVA POWER TRANSFORMER WITH ACCESSORIES AND OIL SR.NO.12109-001",India,Bangladesh,600538.46,80000.0,,,,True,Real (Market),600538.46,1
27-Oct-15,85042320.0,"TRANSFORMERS >> 61-333-TRANSFORMERS C.W 75000KVA , ABV63000 KVA UP&INC100000KVA WITH MSTANK&OIL W.A. P.T132-22KV , 75MVA S.13604 A.P.INV.",India,Kenya,583258.04,75000.0,,,,True,Real (Market),583258.04,1
27-Oct-15,85042320.0,"TRANSFORMERS >> 61-333-TRANSFORMERS C.W 75000KVA , ABV63000 KVA UP&INC100000 KVA WITH MSTANK&OIL , P.T-132-22KV , 75MVA S.13604 AS PER DOCUMENT",India,Kenya,583258.04,75000.0,,,,True,Real (Market),583258.04,1
24-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50 HZ 75 MVA,India,Oman,132199.05,75000.0,,,,True,Real (Market),132199.05,1
23-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50 HZ 75 MVA,India,Oman,132777.92,75000.0,,,,True,Real (Market),132777.92,1
20-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50 HZ 75 MVA,India,Oman,133185.1,75000.0,,,,True,Real (Market),133185.1,1
20-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50HZ 75 MVA,India,Oman,133185.1,75000.0,,,,True,Real (Market),133185.1,1
