Date,HSN Code,Description,Origin,Destination,Quantity,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer
22-Aug-23,85042310.0,SUPPLY OF LF TRANSFORMER 15MVA S.N.67844.1/3 PART CARGO,Italy,India,1,492541.52,15000.0,,,,True
18-Aug-23,85042330.0,12703842 BR.RECTIFIER BST0.7I-400V-00,Germany,India,2,360.97,,,,,False
12-Aug-23,85042330.0,TRANSDUCER ORIGIN:CANADA 1240701,Canada,India,1,150673.19,,,,,False
12-Aug-23,85042310.0,SUPPLY OF LF TRANSFORMER 15MVA WITH DISASSEMBLED SPARE PARTS / ACCESSORIES / COMPONENT MAKE:TAMIN.2/3 PART CONSIGNMENT,Italy,India,1,18691.01,15000.0,,,,False
12-Aug-23,85042310.0,SUPPLY OF LF TRANSFORMER 15MVA WITH DISASSEMBLED SPARE PARTS / ACCESSORIES / COMPONENT MAKE:TAMINI3/3 PART CONSIGNMENT,Italy,India,1,36282.55,15000.0,,,,False
9-Aug-23,85042310.0,"SUPPLY OF 2X3.3/0.265KV, 40KA, 50/60 HZ, THREE PHASE TEMPERATURE RISE TESTING TRANSFORMER COMPLETE WITH ALL FITTINGS",Italy,India,1,435184.6,,,3.3,0.265,True
8-Aug-23,85042310.0,ELECTRICAL TRANSFORMER 12000KVA 33KV/750 V X 4 OIL IMMERSED,Nepal,India,1,76177.32,12000.0,,33.0,0.75,True
3-Aug-23,85042310.0,Transformer,China,India,2,35.28,,,,,True
3-Aug-23,85042310.0,TELECOM TRANSFORMER 1CT 1CT 1CT 2CT 0.70HM/0.70HM PRIM DCR 16 TERMINAL GULL WIN T1094NL,Singapore,India,440,829.48,,,,,True
15-Jul-23,85042310.0,48 MVA TRANSFORMER,Italy,India,1,797479.62,48000.0,,,,True
11-Jul-23,85042310.0,TWO POWER SUPPLY NEW-23010300002 SPARE PARTS / ACCESSORIES / COMPONENT FOR AUTOMOBILE GARAGE EQUIPMENT,China,India,2,261.14,,,,,False
28-Jun-23,85042330.0,13000772 BR.RECTIFIER BST0.7S-400V-00,Germany,India,1,185.31,,,,,False
12-Jun-23,85042310.0,Two power supplynew P/NO.23010300002,China,India,2,261.15,,,,,False
9-Jun-23,85042310.0,"3PH,40MVAR 110KV SHUNT REACTOR -MATERIAL NO. /PART NO. ISL3003091-01 & SR.NO.I300309-01ST UNIT REPAIR & RE-EXPORT [FOC]",India,India,1,425773.84,40000.0,,,,False
31-May-23,85042310.0,"33/11 KV, 10/13.33 MVA POWER TRANSFORMER TANK WITH OIL SR.NO.TTL/2/13933 -FI213446X67 API",India,India,1,54978.33,13330.0,,33.0,11.0,True
11-May-23,85042320.0,DRIVER SAMPLE,China,India,4,10.68,,,,,False
11-May-23,85042320.0,POWER SUPPLY SAMPLE,China,India,4,14.24,,,,,False
17-Apr-23,85042320.0,"220-54 KV 30-42-50 MVA ONAN-ONAF-OFAF SINGLE PHASE TRACTION TRANSFORMER V-CONNECTED WITH COOLING FANS , PUMPS AND NIFPS",China,India,2,896546.65,50000.0,,,,False
17-Apr-23,85042330.0,220KV-132KV 75-105-150 MVA POWER TRANSFORMER PAC CERT.NO:CGM-UMB-SYS:CP-304-OHE-2020 DT.27.09.2022,China,India,1,942406.42,150000.0,,220.0,132.0,True
16-Apr-23,85042320.0,"Power adapter BIS NO.CRS-2018-4587-R-41107387 , VALID30.10.2024",China,India,240,475.69,,,,,False
10-Apr-23,85042310.0,48 MVA TRANSFORMER,Italy,India,1,882070.95,48000.0,,,,True
4-Apr-23,85042310.0,TRANSFORMER RV7-36 10777111672 750 VA,France,India,2,3050.84,,,,,True
4-Apr-23,85042310.0,TRANSFORMER RV7-3610777111672 750VA,France,India,6,10150.29,,,,,True
4-Apr-23,85042310.0,TRANSFORMER RV7-36 10777111679 400 VA,France,India,4,6101.66,,,,,True
4-Apr-23,85042310.0,TRANSFORMER RV7-36 10777111679 400 VA,France,India,4,6101.66,,,,,True
3-Apr-23,85042310.0,CURRENT TRANSFORMER MODEL 780I EAR99,United States,India,30,16613.13,,,,,True
3-Apr-23,85042310.0,CURRENT TRANSFORMER VT INDOOR MODEL PT5-110/JVM-5CEAR99,United States,India,6,14271.23,,,,,True
3-Apr-23,85042310.0,CURRENT TRANSFORMER CPT5-15- SD07471,United States,India,1,4747.79,,,,,True
3-Apr-23,85042310.0,CURRENT TRANSFORMER INDOOR MODEL 147 3000:5A EAR99,United States,India,2,2132.41,,,,,True
3-Apr-23,85042310.0,CURRENT TRANSFORMER INDOOR MODEL147 3000:5 RATIO,United States,India,12,12794.46,,,,,True
3-Apr-23,85042310.0,"CURRENT TRANSFORMER MODEL 147I, EAR99",United States,India,24,29664.04,,,,,True
3-Apr-23,85042310.0,CURRENT TRANSFORMER MODEL 204 EAR 99,United States,India,10,5152.51,,,,,True
