Date,HSN Code,Description,Origin,Destination,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer,Data Source,Quantity,Original Unit Price (USD)
15-Jul-23,85042310.0,48 MVA TRANSFORMER,Italy,India,797479.62,48000.0,,,,True,Real (Market),1,797479.62
31-May-23,85042310.0,"33/11 KV, 10/13.33 MVA POWER TRANSFORMER TANK WITH OIL SR.NO.TTL/2/13933 -FI213446X67 API",India,India,54978.33,13330.0,,33.0,11.0,True,Real (Market),1,54978.33
17-Apr-23,85042330.0,220KV-132KV 75-105-150 MVA POWER TRANSFORMER PAC CERT.NO:CGM-UMB-SYS:CP-304-OHE-2020 DT.27.09.2022,China,India,942406.42,150000.0,,220.0,132.0,True,Real (Market),1,942406.42
10-Apr-23,85042310.0,48 MVA TRANSFORMER,Italy,India,882070.95,48000.0,,,,True,Real (Market),1,882070.95
4-Apr-23,85042310.0,TRANSFORMER RV7-36 10777111672 750 VA,France,India,1525.42,,,,,True,Real (Market),2,3050.84
4-Apr-23,85042310.0,TRANSFORMER RV7-3610777111672 750VA,France,India,1691.7150000000001,,,,,True,Real (Market),6,10150.29
4-Apr-23,85042310.0,TRANSFORMER RV7-36 10777111679 400 VA,France,India,1525.415,,,,,True,Real (Market),4,6101.66
4-Apr-23,85042310.0,TRANSFORMER RV7-36 10777111679 400 VA,France,India,1525.415,,,,,True,Real (Market),4,6101.66
3-Apr-23,85042310.0,CURRENT TRANSFORMER MODEL 780I EAR99,United States,India,553.7710000000001,,,,,True,Real (Market),30,16613.13
3-Apr-23,85042310.0,CURRENT TRANSFORMER VT INDOOR MODEL PT5-110/JVM-5CEAR99,United States,India,2378.5383333333334,,,,,True,Real (Market),6,14271.23
3-Apr-23,85042310.0,CURRENT TRANSFORMER CPT5-15- SD07471,United States,India,4747.79,,,,,True,Real (Market),1,4747.79
3-Apr-23,85042310.0,CURRENT TRANSFORMER INDOOR MODEL 147 3000:5A EAR99,United States,India,1066.205,,,,,True,Real (Market),2,2132.41
3-Apr-23,85042310.0,CURRENT TRANSFORMER INDOOR MODEL147 3000:5 RATIO,United States,India,1066.205,,,,,True,Real (Market),12,12794.46
3-Apr-23,85042310.0,"CURRENT TRANSFORMER MODEL 147I, EAR99",United States,India,1236.0016666666668,,,,,True,Real (Market),24,29664.04
3-Apr-23,85042310.0,CURRENT TRANSFORMER MODEL 204 EAR 99,United States,India,515.251,,,,,True,Real (Market),10,5152.51
27-Mar-23,85042310.0,"16 MVA 33KV/110-245-340V SINGLE PHASE, SHELLFORM, FURNACE TRANSFORMER, IDENTICAL & INTERCHANGEABLE TO THE EXISTING UNITS",Norway,India,1707636.1,16000.0,,,,True,Real (Market),1,1707636.1
3-Mar-23,85042310.0,"IMPACT RECORDER & DRY AIR BOTTLEGOOD IMPORTED ON RETURNABEBASIS AFTER ERECTION, 1 SET SUPPLY OF TRANSFORMER,14 MVA,FU",Italy,India,1973.68,14000.0,,,,True,Real (Market),1,1973.68
3-Mar-23,85042310.0,"SPARE PARTS / ACCESSORIES / COMPONENT & CONSUMABLES FOR ERECTION OF FURNACE TRANSFORMER 14 MVA, OIL FOR MAIN MACHINE 56 DRUMS=10192KGS SUPPLY O",Italy,India,257.27196428571426,14000.0,,,,True,Real (Market),56,14407.23
15-Feb-23,85042320.0,"Transformer 400/230 VAC-1KVA ESTEL, Type TR-0303, Vprimary 400 V,V Secondry 230 V, Phase 1,50Hz,Power 1 KVA",Malaysia,India,235.8,1.0,,400.0,0.23,True,Real (Market),1,235.8
14-Feb-23,85042320.0,CURRENT TRANSFORMERS CT132M300/5-2.5/1 13S CT RATIO:300/5 VA:2.5 CLASS-1 FEET & DIN CLIP,United Kingdom,India,8.633695652173913,,,300.0,0.005,True,Real (Market),92,794.3
14-Feb-23,85042320.0,CURRENT TRANSFORMERS CT143M400/5-2.5/1 14S CT RATIO:400/5 VA:2.5 CLASS1 TYPE 143-5-K6,United Kingdom,India,9.562911392405063,,,400.0,0.005,True,Real (Market),79,755.47
14-Feb-23,85042320.0,CURRENT TRANSFORMERS CT164M600/5-5/1 16S RATIO:600/5 VA:5 CLASS1 TYPE 164-5-H5,United Kingdom,India,12.376222222222221,,,600.0,0.005,True,Real (Market),45,556.93
29-Jan-23,8504230009.0,SINGLE-PHASE ELECTRIC TRANSFORMER WITH POWER 533000 KVA WITH LIQUID DIELECTRIC. DESIGNED FOR CONVERSION OF ELECTRIC ENERGY OF INDUSTRIAL FREQUENCY 50 Hz. PURPOSE: CONVERSION OF ELE...,Russia,India,,533000.0,,,,True,Real (Market),1,
30-Dec-22,85042310.0,"TRANSFORMER;TYPE:REGULATING;VOLTAGE RATING:11.5/12.8-2.5 KV,CURRENT RATING:3765/A,APPARENT POWER:75 MVA,PHASE QUANTITY:3",China,India,692285.0,75000.0,,,,True,Real (Market),1,692285.0
30-Dec-22,85042310.0,"TRANSFORMER;TYPE:RECTIFIER;VOLTAGE RATING:12075/651V AC,CURRENT RATING:581 A,APPARENT POWER:12155 KVA,PHASE QUANTITY:3,F",China,India,228400.0,12155.0,,12075.0,0.651,True,Real (Market),1,228400.0
4-Dec-22,85042310.0,TRANSFORMER,China,India,33.333333333333336,,,,,True,Real (Market),6,200.0
28-Nov-22,85042330.0,220KV/132KV 75/105/150 MVA POWER TRANSFORMER PAC CERT.NO:CGM/UMB/SYS:CP-304/OHE/2020 DT.27.09.2022INV.NO.XBZT-CP304-1,China,India,969916.18,150000.0,,220.0,132.0,True,Real (Market),1,969916.18
21-Oct-22,85042310.0,POWER TRANSFORMER 50MVA 132/33 KV 3 PHASE AUTO TRANSFORMER DO,Nepal,India,890691.6,50000.0,,132.0,33.0,True,Real (Market),1,890691.6
5-Oct-22,85042340.0,MWO-2517470000007043H.V.TRANSFORMERPARTS FOR OVEN USE,China,India,80.3665,,,,,True,Real (Market),20,1607.33
17-Oct-24,85042310.0,"T&R MAKE 8500 KVA 8.50 MVA, 1PHASE OIL",India,Oman,385626.83,8500.0,,,,True,Real (Market),1,385626.83
17-Oct-24,85042310.0,"T&R MAKE 8500 KVA 8.50 MVA, 1PHASE OIL",India,Oman,385626.83,8500.0,,,,True,Real (Market),1,385626.83
